_TYPE_	_NAME_	v000001	v000002	v000003	v000004	v000005	v000006	v000007	v000008	v000009	v000010	v000011	v000012	v000013	v000015	v000017	v000018	v000019	v000020	v000021	v000022	v000023	v000024	v000025	v000026	v000028	v000030	v000031	v000033	v000034	v000035	v000037	v000038	v000039	v000041	v000042	v000043	v000044	v000045	v000047	v000048	v000051	v000052	v000053	v000054	v000055	v000056	v000059	v000061	v000064	v000065	v000066	v000067	v000068	v000072	v000073	v000074	v000075	v000076	v000081	v000083	v000084	v000087	v000088	v000089	v000090	v000092	v000093	v000096	v000097	v000098	v000099	v000102	v000109	v000113	v000114	v000115	v000119	v000122	v000123	v000124	v000126	v000127	v000133	v000135	v000137	v000138	v000149	v000150	v000151	v000155	v000158	v000159	v000162	v000164	v000171	v000172	v000174	v000175	v000177	v000179	v000184	v000188	v000189	v000192	v000201	v000203	v000204	v000207	v000209	v000212	v000214	v000219	v000220	v000222	v000229	v000234	v000236	v000240	v000248	v000250	v000253	v000263	v000267	v000269	v000278	v000279	v000290	v000308	v000334	v000336	v000337	v000340	v000342	v000347	v000348	v000349	v000355	v000375	v000379	v000382	v000389	v000396	v000398	v000414	v000420	v000421	v000434	v000449	v000450	v000457	v000464	v000501	v000506	v000516	v000521	v000534	v000560	v000566	v000578	v000579	v000589	v000620	v000646	v000683	v000686	v000694	v000708	v000717	v000752	v000754	v000791	v000796	v000802	v000816	v000848	v000875	v000921	v000940	v000943
MEAN		14.042588496	7.6924778761	7.7693584071	7.1703539823	5.6908185841	7.1189159292	4.8185840708	4.4402654867	4.8866150442	10.261061947	2.4778761062	5.8877212389	3.1432522124	2.1133849558	2.3230088496	1.7721238938	2.5210176991	2.9181415929	2.5978982301	2.1565265487	1.8296460177	2.4474557522	1.8064159292	1.7826327434	2.8346238938	2.5696902655	1.1869469027	1.8678097345	2.3058628319	2.3672566372	1.1808628319	1.1222345133	1.7267699115	1.2693584071	1.3097345133	1.2477876106	0.3805309735	1.6598451327	1.7007743363	1.171460177	1.2262168142	1.2538716814	1.3351769912	3.5066371681	1.094579646	0.8932522124	0.9651548673	0.9773230088	0.9922566372	0.8932522124	1.4557522124	2.0602876106	0.8506637168	1.0337389381	0.7688053097	1.0547566372	1.7234513274	0.9524336283	0.5525442478	0.705199115	0.7942477876	0.905420354	0.8595132743	0.6637168142	0.9469026549	0.9120575221	0.6863938053	0.9900442478	0.8042035398	0.9701327434	1.016039823	0.998340708	0.7986725664	0.4402654867	0.548119469	0.907079646	0.5066371681	0.7582964602	0.423119469	0.5636061947	0.6111725664	0.5365044248	0.5796460177	0.392699115	0.4369469027	0.530420354	0.5315265487	0.3971238938	0.6388274336	0.5625	0.3954646018	0.5243362832	0.5254424779	0.9303097345	0.2007743363	0.7743362832	0.5907079646	0.3611725664	0.751659292	0.5691371681	0.3556415929	0.4181415929	0.5851769912	0.4800884956	0.3550884956	0.4292035398	0.3689159292	0.3412610619	0.4275442478	0.3882743363	0.342920354	0.4762168142	0.3396017699	0.5862831858	0.4474557522	0.4308628319	0.469579646	0.3689159292	0.3949115044	0.2472345133	0.6471238938	0.453539823	0.3163716814	0.2721238938	0.3058628319	0.5763274336	0.2599557522	0.2599557522	0.2699115044	0.3042035398	0.3230088496	0.3169247788	0.2345132743	0.2129424779	0.2721238938	0.1863938053	0.2267699115	0.2594026549	0.2892699115	0.1764380531	0.2068584071	0.1786504425	0.2571902655	0.1526548673	0.1985619469	0.3086283186	0.2024336283	0.141039823	0.217920354	0.2936946903	0.155420354	0.155420354	0.1758849558	0.1216814159	0.1371681416	0.1653761062	0.1205752212	0.1476769912	0.1526548673	0.1404867257	0.125	0.1128318584	0.1321902655	0.1144911504	0.1050884956	0.1039823009	0.0940265487	0.0873893805	0.0890486726	0.0713495575	0.1100663717	0.1648230088	0.0746681416	0.076880531	0.1521017699	0.1001106195	0.1023230088	0.0569690265	0.1006637168
STD		26.262138161	14.979251795	15.234358512	14.371648806	11.410637072	14.766386564	10.403494783	9.4289510682	10.457698173	29.133423761	4.4195517608	13.721964575	6.6767359812	4.3110747901	6.322076937	3.7253610444	5.9702824899	7.2042647455	6.0437746451	4.8746718413	4.0658341989	6.0467194313	4.1069168089	4.1294476563	7.5424477649	8.0155914415	2.5256637308	4.3955885798	6.5635481893	6.0953565202	2.6702005809	2.5345412555	4.5691528653	2.9706014305	3.1063557204	3.0104954897	0.6269164046	4.0741470843	4.5421910047	2.9746063572	3.0040074067	3.279666262	3.3468453742	11.300638853	2.5886417949	2.0920168281	2.2857326494	2.3898038166	2.7294426165	2.4635019994	4.9089361034	6.1787803258	2.1677925194	3.2802120011	1.9568336434	2.9441940176	8.198145405	2.5321299245	1.5904752984	1.9580366832	2.2746479598	2.4776618931	2.355546196	1.7606565132	2.5615719025	3.6286550297	2.2191979795	3.2863539355	2.2191359807	2.9184059116	2.8758228143	3.7725155113	2.2975549206	1.148986867	1.6966736568	2.9890400593	1.5037161777	2.3922693647	1.1570896467	1.6156205686	2.1848264675	1.5628487583	1.7898024756	1.0793589964	1.2507467491	1.6747625162	1.8094327929	1.1801871678	2.0306389052	1.8723717976	1.1828517429	1.6360847219	1.6451753423	3.3311279482	0.482177612	2.8370160949	2.0078875862	1.0423129728	2.7423481129	1.8504337507	1.107483838	1.3525857006	2.4337239023	1.5485650722	1.0510050493	1.5424159843	1.2038797904	1.1678315876	1.5718378445	1.3028918106	1.0911398924	2.0849391842	1.1221679629	1.9103510056	1.5478010352	1.8053229194	1.8295258534	1.3491133564	1.5536937059	0.7881546163	4.126584822	2.6425174294	1.1946744487	0.9392490272	1.098335475	4.4213264676	0.9462069434	0.8826623698	1.0760467898	1.2590981684	2.2602362409	1.6456079463	1.1322525242	0.7633762517	1.0562788377	0.6629516295	0.8340513058	0.9651767804	1.2602017205	0.6812844168	0.7882068487	0.6439432629	1.3848349584	0.5415074864	0.8004274802	1.5058979047	0.841609288	0.5148781671	1.6000379389	1.8494899938	0.6782766014	0.6725410768	0.7506015238	0.488512242	0.5635989485	0.7562879903	0.494415186	0.6542907816	0.7072504797	0.7152061601	0.5585527587	0.4769056672	0.6465636579	0.5749330857	0.4878338247	0.485797929	0.4337807476	0.4089429717	0.4199396244	0.3047274696	0.6472866153	1.2630903379	0.340024903	0.3661928195	1.5276771458	0.5650197865	0.5942308154	0.277481948	0.5545401499
N		1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808	1808
CORR	v000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CORR	v000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CORR	v000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CORR	v000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CORR	v000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CORR	v000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CORR	v000007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
