Name1	Name2	corr
ter	coisa	0.91412473
coisa	ter	0.91412473
ter	dizer	0.91329433
dizer	ter	0.91329433
ter	falar	0.91253553
falar	ter	0.91253553
ter	querer	0.89267358
querer	ter	0.89267358
ter	fazer	0.89190586
fazer	ter	0.89190586
dizer	coisa	0.89185273
coisa	dizer	0.89185273
ter	saber	0.89150273
saber	ter	0.89150273
versículo	capítulo	0.88474763
capítulo	versículo	0.88474763
fazer	coisa	0.88471912
coisa	fazer	0.88471912
dizer	saber	0.8792399
saber	dizer	0.8792399
dizer	falar	0.87816772
falar	dizer	0.87816772
fazer	dizer	0.8764621
dizer	fazer	0.8764621
querer	saber	0.87535473
saber	querer	0.87535473
coisa	falar	0.87397116
falar	coisa	0.87397116
ter	dar	0.87122714
dar	ter	0.87122714
dizer	querer	0.87074194
querer	dizer	0.87074194
fazer	dar	0.86073851
dar	fazer	0.86073851
mulher	marido	0.85931752
marido	mulher	0.85931752
querer	falar	0.85836184
falar	querer	0.85836184
querer	coisa	0.85650288
coisa	querer	0.85650288
decidir	decisão	0.85298527
decisão	decidir	0.85298527
coisa	saber	0.85225087
saber	coisa	0.85225087
ter	ver	0.84943744
ver	ter	0.84943744
ter	ficar	0.84934873
ficar	ter	0.84934873
fazer	querer	0.84731235
querer	fazer	0.84731235
coisa	dar	0.84675753
dar	coisa	0.84675753
dizer	dar	0.84656395
dar	dizer	0.84656395
falar	saber	0.84252866
saber	falar	0.84252866
ter	vir	0.83922975
vir	ter	0.83922975
fazer	saber	0.83847805
saber	fazer	0.83847805
fazer	falar	0.83809264
falar	fazer	0.83809264
pai	mãe	0.83545853
mãe	pai	0.83545853
ter	primeiro	0.83394948
primeiro	ter	0.83394948
dizer	vir	0.83061123
vir	dizer	0.83061123
dizer	primeiro	0.82698817
primeiro	dizer	0.82698817
falar	dar	0.82693427
dar	falar	0.82693427
falar	ficar	0.82690017
ficar	falar	0.82690017
ter	vida	0.82566851
vida	ter	0.82566851
dizer	ver	0.8250214
ver	dizer	0.8250214
falar	vir	0.8233145
vir	falar	0.8233145
coisa	vida	0.82284879
vida	coisa	0.82284879
saber	ficar	0.82237205
ficar	saber	0.82237205
coisa	ver	0.82180092
ver	coisa	0.82180092
dar	saber	0.82098651
saber	dar	0.82098651
ter	vez	0.82095233
vez	ter	0.82095233
falar	ver	0.81896191
ver	falar	0.81896191
querer	dar	0.81850592
dar	querer	0.81850592
ter	gente	0.81812545
gente	ter	0.81812545
fazer	ficar	0.81693305
ficar	fazer	0.81693305
filho	pai	0.81688085
pai	filho	0.81688085
ter	irmão	0.81466778
irmão	ter	0.81466778
dizer	ficar	0.81369666
ficar	dizer	0.81369666
coisa	ficar	0.8135307
ficar	coisa	0.8135307
dizer	vez	0.81204409
vez	dizer	0.81204409
ter	cara	0.80749964
cara	ter	0.80749964
ter	grande	0.8037524
grande	ter	0.8037524
ver	olhar	0.80195412
olhar	ver	0.80195412
coisa	vir	0.8019445
vir	coisa	0.8019445
querer	vida	0.79954515
vida	querer	0.79954515
ter	bom	0.7994872
bom	ter	0.7994872
ver	saber	0.79858803
saber	ver	0.79858803
querer	ver	0.79819701
ver	querer	0.79819701
marido	responsabilidade	0.79800447
responsabilidade	marido	0.79800447
santo	espírito	0.79651613
espírito	santo	0.79651613
dizer	vida	0.79599415
vida	dizer	0.79599415
querer	ficar	0.79551487
ficar	querer	0.79551487
fazer	ver	0.79208993
ver	fazer	0.79208993
coisa	primeiro	0.79197451
primeiro	coisa	0.79197451
mulher	responsabilidade	0.79165624
responsabilidade	mulher	0.79165624
fazer	primeiro	0.79141637
primeiro	fazer	0.79141637
falar	primeiro	0.79100865
primeiro	falar	0.79100865
ideologia	gênero	0.79013736
gênero	ideologia	0.79013736
ter	achar	0.78995093
achar	ter	0.78995093
ter	deixar	0.78988093
deixar	ter	0.78988093
falar	cara	0.78955398
cara	falar	0.78955398
dizer	olhar	0.78914341
olhar	dizer	0.78914341
ter	olhar	0.78860905
olhar	ter	0.78860905
dizer	versículo	0.78770043
versículo	dizer	0.78770043
dizer	ir	0.78689265
ir	dizer	0.78689265
coisa	bom	0.78619006
bom	coisa	0.78619006
ter	ir	0.7857317
ir	ter	0.7857317
fazer	vir	0.78521115
vir	fazer	0.78521115
querer	vir	0.78379683
vir	querer	0.78379683
falar	irmão	0.78327905
irmão	falar	0.78327905
dizer	gente	0.78219403
gente	dizer	0.78219403
falar	gente	0.78198534
gente	falar	0.78198534
ver	ficar	0.78168557
ficar	ver	0.78168557
coisa	olhar	0.78098792
olhar	coisa	0.78098792
dizer	capítulo	0.78082487
capítulo	dizer	0.78082487
dizer	grande	0.78050893
grande	dizer	0.78050893
coisa	irmão	0.77945855
irmão	coisa	0.77945855
coisa	gente	0.7788399
gente	coisa	0.7788399
saber	vir	0.77863747
vir	saber	0.77863747
dar	ficar	0.77856924
ficar	dar	0.77856924
falar	vez	0.77750375
vez	falar	0.77750375
falar	achar	0.7774642
achar	falar	0.7774642
fazer	vida	0.77645291
vida	fazer	0.77645291
ter	chegar	0.7758654
chegar	ter	0.7758654
dizer	achar	0.77473775
achar	dizer	0.77473775
saber	cara	0.77449609
cara	saber	0.77449609
dizer	deixar	0.77433973
deixar	dizer	0.77433973
dizer	irmão	0.77403178
irmão	dizer	0.77403178
ter	passar	0.77248107
passar	ter	0.77248107
filho	casa	0.7723739
casa	filho	0.7723739
