file	fac1	fac2	fac3
t000000	42	0	4
t000001	4	0	0
t000002	2	0	0
t000003	103	0	0
t000004	6	0	0
t000005	18	0	0
t000006	15	0	0
t000007	10	0	0
t000008	12	0	0
t000009	6	0	0
t000010	5	0	0
t000011	4	0	0
t000012	12	0	0
t000013	12	0	0
t000014	10	1	1
t000015	14	0	0
t000016	15	0	0
t000017	5	0	0
t000018	5	0	0
t000019	16	0	0
t000020	14	1	0
t000021	5	0	0
t000022	9	0	1
t000023	6	0	0
t000024	9	0	0
t000025	3	0	0
t000026	13	0	0
t000027	12	0	0
t000028	15	0	0
t000029	7	0	0
t000030	10	0	0
t000031	9	1	2
t000032	9	0	0
t000033	20	0	0
t000034	16	0	0
t000035	1	0	0
t000036	7	0	0
t000037	19	0	0
t000038	8	0	0
t000039	32	0	0
t000040	19	0	0
t000041	7	0	0
t000042	7	0	0
t000043	9	0	0
t000044	12	0	0
t000045	5	0	0
t000046	8	3	0
t000047	8	0	0
t000048	11	0	0
t000049	10	0	0
t000050	10	0	0
t000051	10	0	0
t000052	9	0	0
t000053	4	0	0
t000054	8	0	0
t000055	14	0	1
t000056	19	0	0
t000057	8	0	0
t000058	6	0	0
t000059	6	0	0
t000060	4	0	0
t000061	20	0	0
t000062	6	0	0
t000063	10	0	0
t000064	3	0	0
t000065	6	0	0
t000066	10	0	0
t000067	9	0	0
t000068	7	0	0
t000069	8	0	0
t000070	11	0	0
t000071	4	0	0
t000072	8	0	0
t000073	15	0	0
t000074	14	0	0
t000075	17	0	0
t000076	10	0	0
t000077	8	0	0
t000078	13	0	0
t000079	11	0	0
t000080	6	0	0
t000081	6	0	0
t000082	9	0	0
t000083	7	0	0
t000084	6	1	0
t000085	11	0	0
t000086	18	0	0
t000087	6	0	0
t000088	13	0	0
t000089	6	0	0
t000090	8	0	0
t000091	15	1	0
t000092	29	0	0
t000093	12	0	0
t000094	6	0	0
t000095	3	0	0
t000096	8	0	0
t000097	8	0	0
t000098	10	0	0
t000099	7	0	0
t000100	10	0	0
t000101	14	0	0
t000102	7	0	0
t000103	9	0	0
t000104	7	0	1
t000105	13	0	0
t000106	16	0	0
t000107	9	0	0
t000108	6	0	0
t000109	18	0	0
t000110	1	0	0
t000111	13	0	0
t000112	8	0	0
t000113	11	0	0
t000114	11	0	0
t000115	32	0	0
t000116	10	0	0
t000117	6	0	0
t000118	10	0	0
t000119	16	0	0
t000120	9	0	0
t000121	7	0	0
t000122	17	0	0
t000123	1	0	0
t000124	16	0	0
t000125	11	0	0
t000126	7	0	0
t000127	15	0	0
t000128	9	0	0
t000129	12	0	0
t000130	11	0	0
t000131	26	0	0
t000132	4	0	0
t000133	14	0	0
t000134	13	0	0
t000135	7	0	1
t000136	10	0	0
t000137	18	0	0
t000138	12	1	0
t000139	12	0	0
t000140	8	0	0
t000141	13	0	0
t000142	12	0	0
t000143	5	0	0
t000144	11	0	0
t000145	12	0	0
t000146	7	0	0
t000147	10	0	0
t000148	7	0	0
t000149	10	0	0
t000150	13	0	0
t000151	10	0	0
t000152	12	0	0
t000153	11	0	0
t000154	17	0	0
t000155	3	0	0
t000156	8	0	0
t000157	9	0	0
t000158	8	0	0
t000159	5	0	0
t000160	7	0	0
t000161	5	0	0
t000162	12	0	0
t000163	14	0	0
t000164	19	0	0
t000165	4	0	0
t000166	10	0	0
t000167	14	0	0
t000168	8	0	0
t000169	17	0	0
t000170	18	0	0
t000171	9	0	0
t000172	20	0	0
t000173	7	0	0
t000174	13	0	0
t000175	7	0	0
t000176	13	0	0
t000177	8	0	0
t000178	7	0	0
t000179	4	0	0
t000180	1	0	1
t000181	7	0	0
t000182	8	0	0
t000183	4	0	0
t000184	31	0	0
t000185	5	0	0
t000186	10	0	0
t000187	18	0	0
t000188	7	0	0
t000189	8	0	0
t000190	13	0	0
t000191	14	0	0
t000192	3	0	0
t000193	22	0	0
t000194	9	0	0
t000195	14	0	0
t000196	14	1	0
t000197	13	0	0
t000198	5	0	0
t000199	5	0	0
t000200	24	0	0
t000201	13	0	0
t000202	19	0	0
t000203	10	0	0
t000204	7	0	3
t000205	13	0	1
t000206	16	0	0
t000207	8	0	0
t000208	10	0	0
t000209	7	0	0
t000210	5	0	0
t000211	13	0	0
t000212	14	0	0
t000213	14	0	0
t000214	12	0	0
t000215	7	0	0
t000216	12	0	0
t000217	11	0	0
t000218	14	0	0
t000219	8	0	0
t000220	2	0	0
t000221	15	0	0
t000222	9	0	0
t000223	6	0	0
t000224	14	0	0
t000225	10	0	0
t000226	20	0	0
t000227	10	0	0
t000228	6	0	0
t000229	4	0	0
t000230	8	0	0
t000231	11	0	0
t000232	10	0	0
t000233	14	0	0
t000234	9	0	0
t000235	16	0	0
t000236	8	0	0
t000237	19	0	0
t000238	17	0	0
t000239	9	0	0
t000240	27	0	0
t000241	9	0	0
t000242	11	0	0
t000243	10	0	0
t000244	5	0	0
t000245	14	0	0
t000246	4	0	1
t000247	21	0	1
t000248	13	0	0
t000249	7	0	0
t000250	28	0	0
t000251	7	0	0
t000252	11	0	0
t000253	11	0	0
t000254	9	0	0
t000255	9	1	0
t000256	11	0	0
t000257	7	0	0
t000258	3	0	0
t000259	18	0	0
t000260	21	0	1
t000261	14	0	0
t000262	4	0	0
t000263	11	0	0
t000264	6	0	0
t000265	8	0	0
t000266	12	0	0
t000267	8	0	0
t000268	13	0	0
t000269	17	0	0
t000270	10	0	0
t000271	7	0	0
t000272	18	0	0
t000273	8	1	0
t000274	5	0	0
t000275	35	0	0
t000276	7	0	0
t000277	13	0	0
t000278	5	0	0
t000279	18	0	0
t000280	14	0	0
t000281	7	0	0
t000282	14	0	0
t000283	13	0	0
t000284	9	0	0
t000285	16	0	0
t000286	5	0	0
t000287	13	0	0
t000288	12	0	0
t000289	6	0	0
t000290	18	0	0
t000291	13	0	0
t000292	5	0	0
t000293	3	0	0
t000294	12	0	0
t000295	10	0	0
t000296	8	0	0
t000297	8	0	0
t000298	6	0	0
t000299	11	0	0
t000300	13	0	0
t000301	10	0	0
t000302	10	0	0
t000303	7	0	0
t000304	17	0	0
t000305	10	0	0
t000306	10	0	0
t000307	16	0	0
t000308	9	0	0
t000309	13	0	0
t000310	6	0	0
t000311	24	0	0
t000312	8	0	0
t000313	7	0	0
t000314	17	0	0
t000315	3	0	0
t000316	14	0	0
t000317	7	0	0
t000318	11	0	0
t000319	8	0	0
t000320	10	0	0
t000321	7	0	0
t000322	6	0	0
t000323	11	0	0
t000324	5	0	0
t000325	4	1	1
t000326	3	0	0
t000327	10	0	0
t000328	10	0	0
t000329	5	0	0
t000330	21	0	0
t000331	10	0	1
t000332	8	0	0
t000333	10	0	0
t000334	16	0	0
t000335	6	0	0
t000336	15	0	0
t000337	17	0	0
t000338	11	0	0
t000339	17	0	0
t000340	14	0	0
t000341	10	0	0
t000342	9	0	0
t000343	13	0	0
t000344	22	0	0
t000345	13	0	0
t000346	8	0	0
t000347	6	0	0
t000348	11	1	0
t000349	7	0	0
t000350	5	0	0
t000351	10	0	0
t000352	8	0	0
t000353	13	0	0
t000354	11	0	0
t000355	13	0	0
t000356	19	0	0
t000357	16	0	0
t000358	5	0	0
t000359	6	0	0
t000360	6	0	0
t000361	10	0	0
t000362	12	0	0
t000363	10	0	0
t000364	10	0	1
t000365	30	1	0
t000366	12	0	0
t000367	10	0	0
t000368	12	0	0
t000369	9	0	0
t000370	19	0	0
t000371	15	0	0
t000372	8	0	0
t000373	8	0	0
t000374	6	0	0
t000375	7	0	0
t000376	14	0	0
t000377	6	0	0
t000378	12	0	0
t000379	11	0	0
t000380	15	0	0
t000381	5	0	0
t000382	20	0	0
t000383	18	0	0
t000384	14	0	0
t000385	0	0	0
t000386	9	0	0
t000387	9	0	0
t000388	11	0	1
t000389	16	0	0
t000390	15	0	0
t000391	8	0	1
t000392	10	0	0
t000393	18	0	0
t000394	8	0	0
t000395	7	0	0
t000396	15	0	0
t000397	11	0	0
t000398	9	0	0
t000399	8	0	0
t000400	12	0	0
t000401	5	0	0
t000402	22	0	0
t000403	11	0	1
t000404	14	0	0
t000405	9	0	0
t000406	6	0	0
t000407	4	0	0
t000408	9	0	0
t000409	4	0	0
t000410	18	0	0
t000411	10	0	0
t000412	11	0	0
t000413	13	0	0
t000414	17	0	0
t000415	4	0	0
t000416	6	0	0
t000417	13	0	0
t000418	12	0	0
t000419	5	0	0
t000420	7	0	0
t000421	7	0	0
t000422	4	0	0
t000423	12	0	0
t000424	5	0	0
t000425	7	0	0
t000426	12	0	0
t000427	9	0	0
t000428	11	0	0
t000429	12	0	0
t000430	4	0	0
t000431	5	0	0
t000432	2	0	1
t000433	8	0	0
t000434	5	0	1
t000435	5	0	0
t000436	8	0	0
t000437	13	0	0
t000438	5	0	0
t000439	15	0	0
t000440	4	0	0
t000441	12	0	0
t000442	8	0	0
t000443	9	0	0
t000444	8	0	0
t000445	3	0	0
t000446	15	0	0
t000447	7	0	0
t000448	8	0	0
t000449	12	0	0
t000450	4	0	0
t000451	15	0	0
t000452	10	0	0
t000453	5	0	0
t000454	26	0	0
t000455	9	0	0
t000456	19	0	0
t000457	14	0	0
t000458	17	0	0
t000459	7	0	0
t000460	8	0	0
t000461	21	0	0
t000462	13	0	0
t000463	7	0	0
t000464	8	0	0
t000465	8	0	0
t000466	8	0	0
t000467	10	0	0
t000468	7	0	0
t000469	11	0	0
t000470	26	0	0
t000471	10	0	0
t000472	8	0	0
t000473	15	0	1
t000474	9	0	0
t000475	5	0	0
t000476	5	0	0
t000477	6	0	0
t000478	2	0	0
t000479	13	0	0
t000480	9	0	0
t000481	12	0	0
t000482	11	0	0
t000483	10	1	0
t000484	7	0	0
t000485	9	0	0
t000486	6	1	0
t000487	3	0	0
t000488	11	0	0
t000489	6	0	0
t000490	9	0	0
t000491	9	0	0
t000492	18	0	0
t000493	11	0	0
t000494	15	0	0
t000495	11	0	0
t000496	4	0	0
t000497	5	0	0
t000498	19	0	0
t000499	11	0	0
t000500	2	0	0
t000501	22	0	0
t000502	8	0	0
t000503	6	0	4
t000504	28	0	0
t000505	11	0	0
t000506	13	0	0
t000507	3	0	0
t000508	10	0	0
t000509	16	0	0
t000510	7	0	0
t000511	8	0	0
t000512	21	0	0
t000513	5	0	0
t000514	15	0	0
t000515	3	0	0
t000516	26	0	0
t000517	7	0	0
t000518	8	0	0
t000519	7	0	0
t000520	12	0	0
t000521	9	0	0
t000522	6	0	0
t000523	8	0	0
t000524	15	0	0
t000525	8	0	0
t000526	24	0	0
t000527	2	0	0
t000528	14	0	0
t000529	21	0	1
t000530	10	0	0
t000531	8	0	0
t000532	13	0	0
t000533	13	0	0
t000534	4	0	0
t000535	13	0	0
t000536	18	0	0
t000537	7	0	0
t000538	9	0	0
t000539	6	0	0
t000540	19	0	0
t000541	20	0	0
t000542	6	0	0
t000543	14	0	0
t000544	15	0	0
t000545	6	0	1
t000546	26	0	0
t000547	5	0	0
t000548	11	0	0
t000549	8	0	0
t000550	10	0	0
t000551	10	0	0
t000552	5	0	0
t000553	8	0	0
t000554	5	0	0
t000555	12	0	1
t000556	13	0	0
t000557	6	0	0
t000558	5	0	0
t000559	7	0	0
t000560	10	0	0
t000561	9	0	0
t000562	17	0	0
t000563	8	0	0
t000564	16	0	0
t000565	13	0	0
t000566	11	0	0
t000567	9	0	0
t000568	7	0	0
t000569	8	0	0
t000570	11	0	0
t000571	18	0	0
t000572	11	0	0
t000573	8	0	0
t000574	7	0	0
t000575	7	0	0
